tweet_id,created_at,text
1060406812917215233,2018-11-08 05:41:00,".@POTUS touts Senate gains, @LelandVittert breaks down the results @foxnewsnight https://t.co/VMzif8sgHH"
1060404296611700736,2018-11-08 05:31:00,Former Kavanaugh colleague among group being considered to replace Sessions as AG: reports https://t.co/HxAlDZx2Mg
1060403038219714561,2018-11-08 05:26:00,"Too close to call: Meticulous vote count transpiring in Arizona Senate race, @aacuna1 reports @foxnewsnight https://t.co/DV6EX4Ogxe"
1060401783292420096,2018-11-08 05:21:01,"Former SEAL Mocked by 'SNL' Wins TX House Seat, Calls for More Vets in Congress https://t.co/T0PAhopphH https://t.co/tnyBsy8yEV https://t.co/9ujTikPKur"
1060399263295959040,2018-11-08 05:11:00,South Carolina voter told to remove 'Trump' shirt in order to vote: report https://t.co/xWY2EdSpDF
1060396747263016961,2018-11-08 05:01:00,.@POTUS: “Hopefully we can all work together next year to continue delivering for the American people.” https://t.co/YEwZGue71Z https://t.co/QMyGuttyMy
1060395236915060736,2018-11-08 04:55:00,"Former US Attorney Harry Litman on Whitaker &amp; Mueller probe: “I think most people think it’s unlikely that he would try to fire or really asphyxiate the investigation, but he has many, many actions he can take. And in particular he can try to curb the probe.” @foxnewsnight https://t.co/G5MeyEiCF5"
1060393978506436609,2018-11-08 04:50:00,Pete Davidson's 'SNL' castmate Kenan Thompson talks Dan Crenshaw joke: 'They are figuring out a way to right that wrong' https://t.co/qhiIa41Yx3
1060392720416563200,2018-11-08 04:45:00,".@jasoninthehouse: “Attorney General @jeffsessions is a patriot. He was a good Republican, and I applaud him for his service. The problem I had with him as attorney general is he simply didn’t do his job.” @foxnewsnight https://t.co/SfA26v0ock https://t.co/lpy0QJIuXB"
1060390203808874497,2018-11-08 04:35:00,"Tom Dupree on Acting Attorney General Matthew Whitaker: “Calls for him to recuse from Russia, I think, are meritless. All he has done, is in the past, he has written on the topic.” @foxnewsnight https://t.co/6UTwyCpZRV https://t.co/l0Bxrz8Niv"
1060387687092256769,2018-11-08 04:25:00,"Cabinet shakeup expected after @jeffsessions pushed out, @edhenry reports @foxnewsnight https://t.co/6UTwyCpZRV https://t.co/MY7kH6s4T7"
1060384981074231296,2018-11-08 04:14:15,"New reactions to Sessions resignation, Catherine Herridge has the story @foxnewsnight https://t.co/6UTwyCHBgv https://t.co/FaiATyMSgC"
1060382654317490176,2018-11-08 04:05:00,MLB star @Bharper3407 rejects $300M offer from Nationals: Reports (via @FoxBusiness) https://t.co/Bgfoyi7fNH
1060380137538179072,2018-11-08 03:55:00,Doug Schoen: Trump shouldn’t have fired Jeff Sessions – here’s why https://t.co/0ITTpZyqyx
1060379491074220032,2018-11-08 03:52:26,"Joseph diGenova on who could replace AG Sessions: ""@ChrisChristie would have the full confidence of @POTUS, which is to me, what was missing from the relationship with Jeff Sessions."" @IngrahamAngle https://t.co/SfA26v0ock https://t.co/bpks6Ml1rX"
1060378376022753280,2018-11-08 03:48:00,‘Brady Bunch’ cast to take part in TV home’s renovation: report https://t.co/rebtV4qkql
1060376865888624640,2018-11-08 03:42:00,".@TuckerCarlson: Dems' Election Message Was All 'Trump', No Substance https://t.co/CscvHQkfAX"
1060375104440266752,2018-11-08 03:35:00,"11-year-old in North Carolina charged with putting needles in Halloween candy, police say https://t.co/Dm3F07wpIt"
1060373594281205761,2018-11-08 03:29:00,Rhino rescue? Scientists may hold key to saving northern white rhinoceros from extinction  https://t.co/VUifTtCbTk
1060372092452069376,2018-11-08 03:23:02,"RT @FoxBusiness: Rick Scott: ""Socialism will not happen in our nation, and it's not going to happen under my watch."" https://t.co/CLNOuNnGNo"
1060372084386381824,2018-11-08 03:23:00,"Democrat Colin Allred, who unseated Rep. Pete Sessions, won't say if he'll back Pelosi https://t.co/mNox8bKgiA"
1060370326201069568,2018-11-08 03:16:01,Surveillance video shows Michigan woman reportedly reversing car into store https://t.co/tJr2cUsZ8a
1060369064252428288,2018-11-08 03:11:00,".@senatemajldr Mitch McConnell said Wednesday that Democrats and Republicans will have to address health care ""on a bipartisan basis"" after Democrats regained control of the House on #ElectionDay.  https://t.co/xQswoGRYP7 https://t.co/Ucacsx64R7"
1060367303190200320,2018-11-08 03:04:00,Woman finds her diamond before proposal and 'ring shames' herself https://t.co/uoLHUxHeBD
1060366743733002243,2018-11-08 03:01:47,McDonald's customers’ $5M lawsuit over unwanted Quarter Pounder cheese dismissed by judge https://t.co/yBEvL4cAFK
1060362814244773888,2018-11-08 02:46:10,Trump neuters ObamaCare birth control coverage mandate with limits on plans covering abortion https://t.co/ZXX1uDaqXl
1060360759773822976,2018-11-08 02:38:00,The New York Police Department gathered about 20 saluting officers and held an aviation flyover to honor an Emergency Services K-9 just before she died this week. https://t.co/8cUiygkNtc https://t.co/XRmpyfjttF
1060359527286140928,2018-11-08 02:33:06,"RT @FoxBusiness: .@KellyannePolls: ""Many people want to work in @POTUS' administration."" https://t.co/to6mCzFkA7"
1060356499942375425,2018-11-08 02:21:04,"A trooper took this beautiful photo of a double rainbow over a New York State Police squad car, Tuesday. https://t.co/j9V1h3Ja5p"
1060355347066638337,2018-11-08 02:16:29,Jeff Sessions' departure leads to questions about Russia probe's future https://t.co/5iWsDcmrYO
1060353113847201792,2018-11-08 02:07:37,".@TuckerCarlson: ""While everyone else obsessed over dossiers and FISA warrants, Sessions worried about the mission he was hired to do. He introduced a zero-tolerance approach to immigration prosecution."" #Tucker https://t.co/OMIhWNVY0p"
1060352345710755841,2018-11-08 02:04:34,South Carolina voter told to remove 'Trump' shirt in order to vote: report https://t.co/HXoKJGWYxV
1060351431386062848,2018-11-08 02:00:56,Virginia drug-dealing mom gets 10-day jail sentence after providing marijuana to three children https://t.co/PiU3CthxVx
1060346887813980160,2018-11-08 01:42:53,".@TuckerCarlson: ""Supporting marriage and children is the best, maybe the only way, for Republicans or any of us to save the country."" #Tucker https://t.co/fH82PdquWN"
1060346038064726016,2018-11-08 01:39:30,Fox News Channel tops all broadcast and cable news networks in total viewers for midterm election coverage. https://t.co/7YcbLe4gxv https://t.co/wnM49TUYq4
1060345526640693248,2018-11-08 01:37:28,"Sacha Baron Cohen revives 'Borat' character to talk politics, midterm election https://t.co/taa4Z5RCj1"
1060342594755063809,2018-11-08 01:25:49,"Violinist claims Southwest Airlines forced him to leave flight after he refused to check $80,000 instrument https://t.co/S5TxSoH3uu"
1060339368995577856,2018-11-08 01:13:00,"'Take Their Word For It': Jim Jordan Warns of Congressional Investigations By Nadler, Waters, Schiff https://t.co/ZXsUPobdbG"
1060337549347041280,2018-11-08 01:05:46,"Former Governor John Sununu: ""What really made a big difference in the House races around the country last night is...the Republicans were out funded tremendously."" #TheStory https://t.co/KSG4AbTFHK"
1060336368268857345,2018-11-08 01:01:04,"Georgia posts private information of 300,000 absentee voters (via @keiperjourno) https://t.co/5H4ETZthYC"
1060335702997639169,2018-11-08 00:58:26,"CNN's Jim Acosta press pass suspended by White House, Sarah Sanders announces https://t.co/5iiXWRUrCI"
1060334571387056128,2018-11-08 00:53:56,"BREAKING: CNN's Jim Acosta press pass suspended by White House, Sarah Sanders announces https://t.co/eBITlnvfUj"
1060333625349210112,2018-11-08 00:50:10,".@GovChrisSununu: ""I don't think last night was a referendum on the president. I think last night was really a referendum on the idea that people...believe that their vote has a voice."" #TheStory https://t.co/bZjH5Bd4qU"
1060329258923581447,2018-11-08 00:32:49,Dershowitz on Sessions' Departure: Not All GOP Senators Will Allow Trump to Demand 'Loyalty' From New AG https://t.co/lrq24Ih7lc
